recid,mm,dd,yy,county,loc_1
39705,1,2,69,Kerry,"SC, Stump-house Tunnel (1860)"
39706,1,2,69,Kerry,"SC, Stump-house Tunnel (1860)"
39707,1,2,69,Tipperary,
39708,1,2,69,Tipperary,
39709,1,2,69,Wexford,Little Myamme Railroad last heard
39710,1,2,69,Wexford,
39711,1,2,69,Limerick,"PA, Crawford Co., Titusville"
39712,1,2,69,Limerick,"IL, Chicago (in May 1867)"
39713,1,2,69,Limerick,"TN, Memphis (in May 1867)"
39714,1,2,69,Sligo,
39715,1,2,69,Longford,NY left 1863 or 4
39716,1,2,69,Galway,CA last heard 1849 going to
39717,1,2,69,Galway,VT (last heard 1852 or 3)
39718,1,2,69,Galway,"IL, southern part"
39719,1,2,69,Galway,"IL, southern part"
39720,1,2,69,Galway,
39721,1,2,69,Galway,
39722,1,2,69,Galway,
39723,1,2,69,Meath,IN
39724,1,2,69,Leitrim,MA last heard
39725,1,2,69,Wicklow,"*CW, Bellville last heard 1849 w/ his sister"
39726,1,2,69,Donegal,NY last heard
39727,2,13,69,,"MA, Boston (Last heard 1867) "
39728,2,13,69,,"IL, Cooks Co."
39729,2,13,69,,"IL, Cooks Co. "
39730,2,13,69,,
39731,2,13,69,,"IA, Keokuk (1856)"
39732,2,13,69,,"PA, Arch St., Philadelphia (12/68)"
39733,2,13,69,,"MA, Boston"
39734,2,13,69,,"MA, Marlborough"
39735,2,13,69,,"OH, Toledo (left 1859)"
39736,2,3,69,Meath,"NY, on Mohawk River, Btw. Amsterdam & Fundy (1851) "
39737,2,13,69,Meath,"NY, 18m West of Syracuse (1851)"
39738,2,13,69,Meath,"NY, on Mohawk River, Btw. Amsterdam & Fundy (1851) "
39739,2,3,69,Meath,"NY, on Mohawk River, Btw. Amsterdam & Fundy (1851) "
39740,2,13,69,Meath,"NY, on Mohawk River, Btw. Amsterdam & Fundy (1851) "
39741,2,13,69,Meath,"NY, on Mohawk River, Btw. Amsterdam & Fundy (1851) "
39742,2,13,69,Meath,"NY, on Mohawk River, Btw. Amsterdam & Fundy (1851) "
39743,2,13,69,Galway,NY
39744,2,13,69,Clare,"Canada, Quebec"
39745,2,3,69,Tyrone,"Canada, Nr. Montreal"
39746,2,13,69,Tyrone,"Canada, Nr. Montreal"
39747,2,13,69,Tyrone,"Canada, Nr. Montreal"
39748,2,13,69,Down,"MO, St. Joseph"
39749,2,13,69,Down,"MO, St. Joseph"
39750,2,13,69,Down,
